#NAME	C3001	C3017	C3022	C3023	C3030	H4004	H4006	H4007	H4008	H4009	H4014	H4015	H4016	H4017	H4018	H4022	H4023	H4038	H4043	H4045	M2008	M2025	M2027	M2028	M2034	M2041	M2042	M2060	M2061	M2075	M2084	P6005	P6016	P6028	P6033
70.4372__894.78	1720677.62622	1014723.88931	371413.87479	2480182.12127	537750.94507	685690.80874	911435.2889	370134.32359	1655236.80658	542913.92384	677377.44795	2864804.19945	629326.65753	688169.57403	738794.74682	784280.07983	1187235.81891	377758.41393	1464755.25184	880500.62414	223563.79693	1140324.74807	546800.754	2294117.1129	2614511.25045	1631251.91594	1083553.46373	2170074.88388	1313107.45379	389216.64811	1171597.87651	1406937.80893	1837377.88687	1685396.33816	148718.30605
71.0123__40.64	3027822.63334	892919.71005	2545603.629	924353.91695	14963155.71888	4835688.32643	7661117.08052	1421918.0314	2656676.83693	3114528.43702	6410771.95531	2415381.91424	1597300.64478	2547921.72359	4554814.03799	1820860.30502	1552123.37665	3435713.28028	2043517.89932	2779301.60027	2924479.71651	4423270.22724	2486284.17913	1558039.57251	3063874.68902	2273629.90191	2505845.14301	1108042.57056	157276.55078	2755281.68475	1009426.33682	1786774.89195	1426022.31938	38400.70721	431984.69661
73.0281__52.22	1748940.00006	133515563.79246	8907842.67796	4830857.15253	220356574.00498	29771815.84372	76956902.29024	103421454.26399	6756357.67744	9232895.75316	32391314.08378	2920703.99605	3502654.28482	73804006.65123	52386876.51303	930340.38885	27981852.34845	3527446.69016	22531733.11953	4810683.32253	7761662.63145	22766371.28077	3565219.18342	2629563.56813	101835712.2576	2862650.7312	4104505.2487	1670496.35128	4891935.87086	14532511.07953	2997030.78107	25261841.24222	3602185.07657	160813.29706	252053.61069
73.4562__904.43	516054.06145	392812.15903	0	156425.24291	174546.63301	733230.84551	646368.56737	422801.73623	156852.47309	128251.02189	134330.80468	837828.69699	258448.69245	1080308.7965	63598.66735	152032.39023	212437.6489	148444.03265	120642.36196	115173.41618	26673.0258	5630.06593	48249.73533	191008.13057	83454.31113	711493.57642	8527.91005	0	2044080.15407	74772.17671	0	152878.29598	72178.3688	319927.23535	0
74.0233__41.99	1291635.16662	3817119.11959	11302847.51077	221072.63761	16177662.80169	10975432.02039	4460836.80584	4246854.3721	1546389.7553	9185833.57024	20218226.96567	1484721.30055	606453.76398	22287106.68669	3315837.46955	927620.25785	594507.65024	881685.00952	4205867.74546	2398353.35347	3834924.87177	16068129.0388	852495.96195	1636117.32686	16357524.51634	2840429.32879	2223922.6185	1219841.74082	2240125.19238	880853.40036	475581.41134	1176523.39299	1439714.96772	5494605.96106	326370.56043
74.436__767.49	824317.39321	0	66646.89173	388844.63502	158160.22486	377431.42422	0	123246.26837	217033.10426	208292.85339	297039.58937	601765.10955	134852.43437	133977.78234	0	76780.7134	197160.67872	109058.9042	353020.2365	270542.25931	28915.35033	137740.87251	23571.45558	222783.82151	0	376910.18271	95086.35404	355975.13534	329907.70791	4531.34482	190038.32933	126538.53887	257929.49663	0	166975.38427
74.9399__749.38	4483190.43467	963205.85887	281262.0213	6306304.86717	752935.3324	1402844.09459	0	442069.70201	990120.14821	1024799.21787	827516.67796	2135260.50311	751263.35968	1784737.78324	848293.06058	901917.90212	900012.46214	362104.76135	1682997.00758	1195265.32211	89609.40308	3595859.15848	414871.96827	2057843.71649	0	4782940.3909	726364.25419	1286054.95313	2690870.04682	495940.70287	1308621.77368	2386668.84203	1165252.01046	0	452350.87253
75.6745__844.43	1475524.13386	1762930.59866	0	413117.28382	147132.14958	1151965.21125	737644.32437	380812.43874	0	50268.07957	63645.22622	119151.14525	26454.45136	2215327.24569	108050.90974	186557.23074	100582.66461	165871.93267	46887.03248	68774.10491	18666.78727	57948.64709	5031.04775	46272.37257	126288.19539	4898084.59583	0	22892.83075	0	57045.6367	0	234580.14294	0	137773.37506	0
75.9334__836.79	61619.03029	528389.54576	7926.95136	223526.78333	238216.05517	201772.32604	1053294.10637	226992.12787	42686.6321	123032.09691	130857.59808	218045.09967	90742.00387	208834.19717	162346.11234	6209.40976	170567.58752	92132.8944	95409.76659	93641.63295	52223.33834	182772.96609	91821.61007	110088.61152	203030.41149	817485.03299	26008.15167	68823.08592	6351.26066	105125.75987	69263.10675	284027.22408	0	276247.01424	6186.90505
78.9576__47.13	48116802.70183	7916945.35201	23732055.22965	16798881.34368	297948.84388	13517201.17681	36255545.52438	40225163.04715	162617813.00756	74057210.70826	42013958.53948	213424370.70726	252862.48164	83070489.53485	37544530.59728	146656.18206	19288926.22179	108075820.25704	103519361.90227	105602.04808	53456314.53761	321001.17515	38767909.62378	166993136.46663	86166880.80091	26374221.4642	42835261.60496	11436960.10389	65668833.56492	90108088.862	673739.20443	1535882.1774	215360556.33264	10570586.50038	433666330.7697
